antibiotic	shared_transfer_panel	ec_broad_panel	kp_broad_panel	se_broad_panel	preferred_parent_compound_name	authoritative_identity_status	final_entity_class	structure_source	structure_source_compound_id	source_final_isomeric_smiles	canonical_isomeric_smiles	standard_inchi	inchikey	molecular_formula	molecular_weight	formal_charge	covalent_component_count	defined_stereo_count	undefined_stereo_count	salt_form_policy	stereochemistry_policy	molecular_representation_decision	molecular_benchmark_eligibility	accepted_source_row_count	accepted_source_files	representative_source_file	representative_source_row_number	registry_audit_date
amikacin	False	True	True	False	amikacin	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:37768	C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O	InChI=1S/C22H43N5O13/c23-2-1-8(29)20(36)27-7-3-6(25)18(39-22-16(34)15(33)13(31)9(4-24)37-22)17(35)19(7)40-21-14(32)11(26)12(30)10(5-28)38-21/h6-19,21-22,28-35H,1-5,23-26H2,(H,27,36)/t6-,7+,8-,9+,10+,11-,12+,13+,14+,15-,16+,17-,18+,19-,21+,22+/m0/s1	LKCWBDHBTVXHDL-RMDFUYIESA-N	C22H43N5O13	585.6080000000003	0	1	16	0	remove_sulfate_components_and_use_parent_amikacin	retain_pubchem_named_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	3	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch1.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv	10	2026-07-24
ampicillin	False	True	False	True	Ampicillin	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:6249	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O	InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10-,11+,14-/m1/s1	AVKUERGKIZMTKX-NJBDSQKTSA-N	C16H19N3O4S	349.4120000000001	0	1	4	0	use_parent_ampicillin;remove_sodium_counterion_and_hydration_waters	preserve_fully_specified_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	2	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv	3	2026-07-24
aztreonam	False	True	True	False	Aztreonam	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:5742832	C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N	C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O	InChI=1S/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,7H,1-3H3,(H2,14,15)(H,16,19)(H,21,22)(H,23,24,25)/b17-8-/t5-,7-/m0/s1	WZPBZJONDBGPKJ-VEHQQRBSSA-N	C13H17N5O8S2	435.4400000000002	0	1	2	0	use_parent_aztreonam;exclude_non_covalent_formulation_excipients	preserve_fully_specified_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	2	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv	7	2026-07-24
cefepime	False	True	True	False	Cefepime	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:5479537	C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-]	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1	InChI=1S/C19H24N6O5S2/c1-25(5-3-4-6-25)7-10-8-31-17-13(16(27)24(17)14(10)18(28)29)22-15(26)12(23-30-2)11-9-32-19(20)21-11/h9,13,17H,3-8H2,1-2H3,(H3-,20,21,22,26,28,29)/b23-12-/t13-,17-/m1/s1	HVFLCNVBZFFHBT-ZKDACBOMSA-N	C19H24N6O5S2	480.57200000000023	0	1	2	0	use_named_charge_separated_parent_cefepime;remove_hydrochloride_counterions_and_hydration_water	preserve_fully_specified_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	2	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv	6	2026-07-24
cefmetazole	False	True	True	False	Cefmetazole	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:42008	CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O	CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21	InChI=1S/C15H17N7O5S3/c1-21-14(18-19-20-21)30-6-8-5-29-13-15(27-2,17-9(23)7-28-4-3-16)12(26)22(13)10(8)11(24)25/h13H,4-7H2,1-2H3,(H,17,23)(H,24,25)/t13-,15+/m1/s1	SNBUBQHDYVFSQF-HIFRSBDPSA-N	C15H17N7O5S3	471.5460000000003	0	1	2	0	use_parent_cefmetazole;remove_sodium_counterion	preserve_fully_specified_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	2	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv	10	2026-07-24
cefotaxime	False	True	True	False	Cefotaxime	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:5742673	CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1	InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)/b20-9-/t10-,14-/m1/s1	GPRBEKHLDVQUJE-QSWIMTSFSA-N	C16H17N5O7S2	455.4740000000002	0	1	2	0	use_parent_cefotaxime;remove_sodium_counterion	preserve_fully_specified_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	2	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv	4	2026-07-24
cefoxitin	True	True	True	True	cefoxitin	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:441199	CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3	CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21	InChI=1S/C16H17N3O7S2/c1-25-16(18-10(20)5-9-3-2-4-27-9)13(23)19-11(12(21)22)8(6-26-15(17)24)7-28-14(16)19/h2-4,14H,5-7H2,1H3,(H2,17,24)(H,18,20)(H,21,22)/t14-,16+/m1/s1	WZOZEZRFJCJXNZ-ZBFHGGJFSA-N	C16H17N3O7S2	427.4600000000001	0	1	2	0	remove_sodium_counterion_and_use_parent_cefoxitin	retain_pubchem_named_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	3	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch1.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv	7	2026-07-24
ceftazidime	True	True	True	True	ceftazidime	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:5481173	CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]	CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O	InChI=1S/C22H22N6O7S2/c1-22(2,20(33)34)35-26-13(12-10-37-21(23)24-12)16(29)25-14-17(30)28-15(19(31)32)11(9-36-18(14)28)8-27-6-4-3-5-7-27/h3-7,10,14,18H,8-9H2,1-2H3,(H4-,23,24,25,29,31,32,33,34)/b26-13-/t14-,18-/m1/s1	ORFOPKXBNMVMKC-DWVKKRMSSA-N	C22H22N6O7S2	546.5870000000002	0	1	2	0	remove_five_hydration_waters_and_use_pubchem_named_charge_separated_ceftazidime_cid_5481173	retain_two_defined_stereocentres_from_pubchem_named_ceftazidime_record	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	3	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch1.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv	3	2026-07-24
ceftriaxone	True	True	True	True	ceftriaxone	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:5479530	CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1	InChI=1S/C18H18N8O7S3/c1-25-18(22-12(28)13(29)23-25)36-4-6-3-34-15-9(14(30)26(15)10(6)16(31)32)21-11(27)8(24-33-2)7-5-35-17(19)20-7/h5,9,15H,3-4H2,1-2H3,(H2,19,20)(H,21,27)(H,23,29)(H,31,32)/b24-8-/t9-,15-/m1/s1	VAAUVRVFOQPIGI-SPQHTLEESA-N	C18H18N8O7S3	554.5920000000003	0	1	2	0	remove_sodium_counterions_and_hydration_waters_and_use_parent_ceftriaxone	retain_pubchem_named_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	3	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch1.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch1_primary_loao_authoritative_adjudication.tsv	6	2026-07-24
cefuroxime	False	True	True	False	Cefuroxime	resolved_parent_active_moiety	single_defined_parent_active_moiety	PubChem	CID:5479529	CO/N=C(/C1=CC=CO1)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1	InChI=1S/C16H16N4O8S/c1-26-19-9(8-3-2-4-27-8)12(21)18-10-13(22)20-11(15(23)24)7(5-28-16(17)25)6-29-14(10)20/h2-4,10,14H,5-6H2,1H3,(H2,17,25)(H,18,21)(H,23,24)/b19-9-/t10-,14-/m1/s1	JFPVXVDWJQMJEE-IZRZKJBUSA-N	C16H16N4O8S	424.39100000000025	0	1	2	0	use_parent_cefuroxime;remove_sodium_counterion_and_exclude_axetil_prodrug	preserve_fully_specified_parent_stereochemistry	use_parent_active_moiety_single_structure	eligible_for_single_structure_benchmark	2	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv;metadata/antibiotics/chemical_entity_adjudication_state_after_batch2.tsv	metadata/antibiotics/batch2_extended_only_authoritative_adjudication.tsv	5	2026-07-24
