outer_target_code	configuration_id	genome_representation	corrective_genome_variant	shared_hp_id	low_rank_interaction_rank	selected_kmer_representation	selected_kmer_dimension	common_amr_dimension	genome_dimension	genome_matrix_path	drug_representation	cross_modal_architecture	latent_width	genome_hidden_multiplier	drug_hidden_multiplier	fusion_hidden_multiplier	dropout	learning_rate	weight_decay	batch_size	maximum_epochs	early_stopping_patience	minimum_rmse_improvement	gradient_clip_norm	directions	confirmation_seeds	planned_runs	outer_target_labels_used
ec	outer_ec__final_common_AMR_only__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_ec__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	canonical_4mer	136	92	92	features/genome_representation/nested_loso_v1/common_cross_species_amr/outer_ec_common_cross_species_amr_binary_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
ec	outer_ec__final_raw_kmer_plus_AMR_single_encoder__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_ec__final_raw_kmer_plus_AMR_single_encoder__corrective_hp_03_wide_regularised	raw_kmer_plus_AMR_single_encoder	corrective_hp_03_wide_regularised	0	canonical_4mer	136	92	228	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
ec	outer_ec__final_selected_kmer_only__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_ec__final_selected_kmer_only__corrective_hp_03_wide_regularised	selected_kmer_only	corrective_hp_03_wide_regularised	0	canonical_4mer	136	92	136	features/genome_representation/nested_loso_v1/canonical_kmer/nested_loso_all_species_canonical_4mer_relative_frequency_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
ec	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8__Morgan__projected_concatenation_MLP	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	canonical_4mer	136	92	228	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
ec	outer_ec__final_separate_encoder_projected_kmer_plus_AMR__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_ec__final_separate_encoder_projected_kmer_plus_AMR__corrective_hp_03_wide_regularised	separate_encoder_projected_kmer_plus_AMR	corrective_hp_03_wide_regularised	0	canonical_4mer	136	92	228	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
kp	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	canonical_5mer	512	91	91	features/genome_representation/nested_loso_v1/common_cross_species_amr/outer_kp_common_cross_species_amr_binary_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
kp	outer_kp__final_raw_kmer_plus_AMR_single_encoder__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_kp__final_raw_kmer_plus_AMR_single_encoder__corrective_hp_03_wide_regularised	raw_kmer_plus_AMR_single_encoder	corrective_hp_03_wide_regularised	0	canonical_5mer	512	91	603	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_kp_selected_5mer_plus_common_amr_float32_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
kp	outer_kp__final_selected_kmer_only__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_kp__final_selected_kmer_only__corrective_hp_03_wide_regularised	selected_kmer_only	corrective_hp_03_wide_regularised	0	canonical_5mer	512	91	512	features/genome_representation/nested_loso_v1/canonical_kmer/nested_loso_all_species_canonical_5mer_relative_frequency_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
kp	outer_kp__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_4__Morgan__projected_concatenation_MLP	outer_kp__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_4	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	4	canonical_5mer	512	91	603	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_kp_selected_5mer_plus_common_amr_float32_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
kp	outer_kp__final_separate_encoder_projected_kmer_plus_AMR__corrective_hp_03_wide_regularised__Morgan__projected_concatenation_MLP	outer_kp__final_separate_encoder_projected_kmer_plus_AMR__corrective_hp_03_wide_regularised	separate_encoder_projected_kmer_plus_AMR	corrective_hp_03_wide_regularised	0	canonical_5mer	512	91	603	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_kp_selected_5mer_plus_common_amr_float32_v1.npy	Morgan	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO
