feature_row	antibiotic	shared_transfer_panel	ec_broad_panel	kp_broad_panel	se_broad_panel	inchikey	canonical_isomeric_smiles	structure_source	structure_source_compound_id	identity_feature_row	morgan_feature_row	rdkit_feature_row	chemberta_mean_feature_row	chemberta_first_feature_row
0	amikacin	False	True	True	False	LKCWBDHBTVXHDL-RMDFUYIESA-N	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O	PubChem	CID:37768	0	0	0	0	0
1	ampicillin	False	True	False	True	AVKUERGKIZMTKX-NJBDSQKTSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O	PubChem	CID:6249	1	1	1	1	1
2	aztreonam	False	True	True	False	WZPBZJONDBGPKJ-VEHQQRBSSA-N	C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O	PubChem	CID:5742832	2	2	2	2	2
3	cefepime	False	True	True	False	HVFLCNVBZFFHBT-ZKDACBOMSA-N	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1	PubChem	CID:5479537	3	3	3	3	3
4	cefmetazole	False	True	True	False	SNBUBQHDYVFSQF-HIFRSBDPSA-N	CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21	PubChem	CID:42008	4	4	4	4	4
5	cefotaxime	False	True	True	False	GPRBEKHLDVQUJE-QSWIMTSFSA-N	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1	PubChem	CID:5742673	5	5	5	5	5
6	cefoxitin	True	True	True	True	WZOZEZRFJCJXNZ-ZBFHGGJFSA-N	CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21	PubChem	CID:441199	6	6	6	6	6
7	ceftazidime	True	True	True	True	ORFOPKXBNMVMKC-DWVKKRMSSA-N	CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O	PubChem	CID:5481173	7	7	7	7	7
8	ceftriaxone	True	True	True	True	VAAUVRVFOQPIGI-SPQHTLEESA-N	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1	PubChem	CID:5479530	8	8	8	8	8
9	cefuroxime	False	True	True	False	JFPVXVDWJQMJEE-IZRZKJBUSA-N	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1	PubChem	CID:5479529	9	9	9	9	9
10	chloramphenicol	False	True	False	True	WIIZWVCIJKGZOK-RKDXNWHRSA-N	O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	PubChem	CID:5959	10	10	10	10	10
11	ciprofloxacin	True	True	True	True	MYSWGUAQZAJSOK-UHFFFAOYSA-N	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	PubChem	CID:2764	11	11	11	11	11
12	imipenem	False	True	True	False	ZSKVGTPCRGIANV-ZXFLCMHBSA-N	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCN=CN)C[C@H]12	PubChem	CID:104838	12	12	12	12	12
13	levofloxacin	False	True	True	False	GSDSWSVVBLHKDQ-JTQLQIEISA-N	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	PubChem	CID:149096	13	13	13	13	13
14	meropenem	True	True	True	True	DMJNNHOOLUXYBV-PQTSNVLCSA-N	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12	PubChem	CID:441130	14	14	14	14	14
15	minocycline	False	True	True	False	FFTVPQUHLQBXQZ-KVUCHLLUSA-N	CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O	PubChem	CID:54675783	15	15	15	15	15
16	tetracycline	True	True	True	True	NWXMGUDVXFXRIG-WESIUVDSSA-N	CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12	PubChem	CID:54675776	16	16	16	16	16
17	tigecycline	False	True	True	False	SOVUOXKZCCAWOJ-HJYUBDRYSA-N	CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O	PubChem	CID:54686904	17	17	17	17	17
18	tobramycin	False	True	True	False	NLVFBUXFDBBNBW-PBSUHMDJSA-N	NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O	PubChem	CID:36294	18	18	18	18	18
