descriptor_column	descriptor_name	rdkit_function	stored_dtype	generation_scaling	model_scaling_policy
0	mol_wt	Descriptors.MolWt	float32	none	fit scaler on training partition only
1	exact_mol_wt	Descriptors.ExactMolWt	float32	none	fit scaler on training partition only
2	heavy_atom_mol_wt	Descriptors.HeavyAtomMolWt	float32	none	fit scaler on training partition only
3	mol_logp	Descriptors.MolLogP	float32	none	fit scaler on training partition only
4	mol_mr	Descriptors.MolMR	float32	none	fit scaler on training partition only
5	tpsa	Descriptors.TPSA	float32	none	fit scaler on training partition only
6	labute_asa	Descriptors.LabuteASA	float32	none	fit scaler on training partition only
7	qed	QED.qed	float32	none	fit scaler on training partition only
8	bertz_ct	Descriptors.BertzCT	float32	none	fit scaler on training partition only
9	fraction_csp3	Descriptors.FractionCSP3	float32	none	fit scaler on training partition only
10	heavy_atom_count	Descriptors.HeavyAtomCount	float32	none	fit scaler on training partition only
11	heteroatom_count	Descriptors.NumHeteroatoms	float32	none	fit scaler on training partition only
12	hbond_acceptors	Descriptors.NumHAcceptors	float32	none	fit scaler on training partition only
13	hbond_donors	Descriptors.NumHDonors	float32	none	fit scaler on training partition only
14	n_oh_nh	Descriptors.NHOHCount	float32	none	fit scaler on training partition only
15	n_o	Descriptors.NOCount	float32	none	fit scaler on training partition only
16	rotatable_bonds	Descriptors.NumRotatableBonds	float32	none	fit scaler on training partition only
17	ring_count	Descriptors.RingCount	float32	none	fit scaler on training partition only
18	aromatic_rings	Descriptors.NumAromaticRings	float32	none	fit scaler on training partition only
19	aliphatic_rings	Descriptors.NumAliphaticRings	float32	none	fit scaler on training partition only
20	saturated_rings	Descriptors.NumSaturatedRings	float32	none	fit scaler on training partition only
21	aromatic_heterocycles	Descriptors.NumAromaticHeterocycles	float32	none	fit scaler on training partition only
22	aromatic_carbocycles	Descriptors.NumAromaticCarbocycles	float32	none	fit scaler on training partition only
23	aliphatic_heterocycles	Descriptors.NumAliphaticHeterocycles	float32	none	fit scaler on training partition only
24	aliphatic_carbocycles	Descriptors.NumAliphaticCarbocycles	float32	none	fit scaler on training partition only
25	saturated_heterocycles	Descriptors.NumSaturatedHeterocycles	float32	none	fit scaler on training partition only
26	saturated_carbocycles	Descriptors.NumSaturatedCarbocycles	float32	none	fit scaler on training partition only
