outer_target_code	source_regime_id	source_species_codes	source_species_count	source_sampling_policy	source_training_panel_policy	source_union_drug_count	source_union_antibiotics	target_drug_count	target_antibiotics	outer_target_query_labels_used_for_configuration	genome_representation	corrective_genome_variant	shared_hp_id	low_rank_interaction_rank	drug_representation	drug_view_fusion_method	drug_view_low_rank	cross_modal_architecture	model_parameter_count	seed	source_training_policy	source_validation_fold	source_validation_objective	target_label_count_used_for_training	run_id
ec	kp_plus_se_to_ec	kp|se	2	equal_species_multisource	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260815	equal-species cyclic balanced batches and equal species loss weight	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__kp_plus_se_to_ec__seed_20260815
ec	kp_plus_se_to_ec	kp|se	2	equal_species_multisource	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260816	equal-species cyclic balanced batches and equal species loss weight	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__kp_plus_se_to_ec__seed_20260816
ec	kp_plus_se_to_ec	kp|se	2	equal_species_multisource	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260817	equal-species cyclic balanced batches and equal species loss weight	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__kp_plus_se_to_ec__seed_20260817
ec	kp_to_ec	kp	1	single_source	complete eligible source panel for every source species	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260815	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__kp_to_ec__seed_20260815
ec	kp_to_ec	kp	1	single_source	complete eligible source panel for every source species	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260816	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__kp_to_ec__seed_20260816
ec	kp_to_ec	kp	1	single_source	complete eligible source panel for every source species	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260817	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__kp_to_ec__seed_20260817
ec	se_to_ec	se	1	single_source	complete eligible source panel for every source species	8	ampicillin|cefoxitin|ceftazidime|ceftriaxone|chloramphenicol|ciprofloxacin|meropenem|tetracycline	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260815	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__se_to_ec__seed_20260815
ec	se_to_ec	se	1	single_source	complete eligible source panel for every source species	8	ampicillin|cefoxitin|ceftazidime|ceftriaxone|chloramphenicol|ciprofloxacin|meropenem|tetracycline	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260816	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__se_to_ec__seed_20260816
ec	se_to_ec	se	1	single_source	complete eligible source panel for every source species	8	ampicillin|cefoxitin|ceftazidime|ceftriaxone|chloramphenicol|ciprofloxacin|meropenem|tetracycline	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	RDKit	single_view	0	drug_to_genome_FiLM	184609	20260817	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_ec__se_to_ec__seed_20260817
kp	ec_to_kp	ec	1	single_source	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	ChemBERTa_mean_plus_Morgan_plus_RDKit	raw_single_encoder_concatenation	0	drug_to_genome_FiLM	547297	20260815	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_kp__ec_to_kp__seed_20260815
kp	ec_to_kp	ec	1	single_source	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	ChemBERTa_mean_plus_Morgan_plus_RDKit	raw_single_encoder_concatenation	0	drug_to_genome_FiLM	547297	20260816	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_kp__ec_to_kp__seed_20260816
kp	ec_to_kp	ec	1	single_source	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	ChemBERTa_mean_plus_Morgan_plus_RDKit	raw_single_encoder_concatenation	0	drug_to_genome_FiLM	547297	20260817	single-source ordinary batching	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_kp__ec_to_kp__seed_20260817
kp	se_plus_ec_to_kp	se|ec	2	equal_species_multisource	complete eligible source panel for every source species	19	amikacin|ampicillin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|chloramphenicol|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	17	amikacin|aztreonam|cefepime|cefmetazole|cefotaxime|cefoxitin|ceftazidime|ceftriaxone|cefuroxime|ciprofloxacin|imipenem|levofloxacin|meropenem|minocycline|tetracycline|tigecycline|tobramycin	NO	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	ChemBERTa_mean_plus_Morgan_plus_RDKit	raw_single_encoder_concatenation	0	drug_to_genome_FiLM	547297	20260815	equal-species cyclic balanced batches and equal species loss weight	fold_05	equal-species mean of per-antibiotic macro RMSE; single source reduces to its macro RMSE	0	zs__outer_kp__se_plus_ec_to_kp__seed_20260815
