protocol	target	target_support_percent	macro_rmse_mean	macro_rmse_sd
Random-pair	Ec	0	2.193490474495404	0.0294239213155889
Random-pair	Ec	1	1.8150716941468563	0.0341033374909236
Random-pair	Ec	5	1.6201107028156314	0.0326253624936691
Random-pair	Ec	10	1.5513639937948578	0.0315912511836177
Random-pair	Kp	0	2.356985545710456	0.0096117304955346
Random-pair	Kp	1	1.9790238448867905	0.0132073893630561
Random-pair	Kp	5	1.762413748178129	0.0103604840664647
Random-pair	Kp	10	1.677356102611063	0.0089011684345258
Random-pair	Se	0	2.0834609845212784	0.0399409248174674
Random-pair	Se	1	1.5157705305170013	0.0306336962274516
Random-pair	Se	5	1.2291160372581815	0.0184131327055898
Random-pair	Se	10	1.158411229466358	0.0130518268648943
Genome-disjoint	Ec	0	2.193915418387172	0.0299652158250527
Genome-disjoint	Ec	1	1.8212824661245848	0.0474583679852312
Genome-disjoint	Ec	5	1.6259691384975743	0.0448368894323114
Genome-disjoint	Ec	10	1.5584149114208192	0.0451758726935443
Genome-disjoint	Kp	0	2.3571756844249743	0.0398443661802153
Genome-disjoint	Kp	1	1.974421789560921	0.0322385506804122
Genome-disjoint	Kp	5	1.7607286587817126	0.0298354160914146
Genome-disjoint	Kp	10	1.6852665786837933	0.0248033365847234
Genome-disjoint	Se	0	2.083677827861372	0.0247892970961088
Genome-disjoint	Se	1	1.4998025573928362	0.038954181946956
Genome-disjoint	Se	5	1.2250849543967253	0.0473114617048532
Genome-disjoint	Se	10	1.1591834546771396	0.049030181738907
Leave-one-antibiotic-out	Ec	0	2.1950296890725025	0.6541561583056583
Leave-one-antibiotic-out	Ec	1	1.9582027462520784	0.5655134302829145
Leave-one-antibiotic-out	Ec	5	1.831550656909907	0.5503059483502201
Leave-one-antibiotic-out	Ec	10	1.794419919322861	0.5388443307404537
Leave-one-antibiotic-out	Kp	0	2.358023545318863	0.5979248051266693
Leave-one-antibiotic-out	Kp	1	2.0734723398491632	0.4834081560343046
Leave-one-antibiotic-out	Kp	5	1.950763338617309	0.434974235468387
Leave-one-antibiotic-out	Kp	10	1.9007443510199096	0.4076714758450788
Leave-one-antibiotic-out	Se	0	2.0852246788171374	0.6668310042928787
Leave-one-antibiotic-out	Se	1	2.019290139006348	0.6490678301359406
Leave-one-antibiotic-out	Se	5	1.9748799082416892	0.6104563859501618
Leave-one-antibiotic-out	Se	10	1.9669693307282852	0.6122024612343955
