outer_target_code	configuration_id	genome_representation	corrective_genome_variant	shared_hp_id	low_rank_interaction_rank	selected_kmer_representation	selected_kmer_dimension	common_amr_dimension	genome_dimension	genome_matrix_path	drug_representation	cross_modal_architecture	latent_width	genome_hidden_multiplier	drug_hidden_multiplier	fusion_hidden_multiplier	dropout	learning_rate	weight_decay	batch_size	maximum_epochs	early_stopping_patience	minimum_rmse_improvement	gradient_clip_norm	directions	confirmation_seeds	planned_runs	outer_target_labels_used	drug_view_fusion_method	drug_view_low_rank	bidirectional_macro_mae_mean	bidirectional_macro_mae_sd	bidirectional_macro_one_tier_accuracy_mean	bidirectional_macro_one_tier_accuracy_sd	bidirectional_macro_pearson_mean	bidirectional_macro_pearson_sd	bidirectional_macro_r2_mean	bidirectional_macro_r2_sd	bidirectional_macro_spearman_mean	bidirectional_macro_spearman_sd	bidirectional_pooled_mae_mean	bidirectional_pooled_mae_sd	bidirectional_pooled_one_tier_accuracy_mean	bidirectional_pooled_one_tier_accuracy_sd	bidirectional_pooled_pearson_mean	bidirectional_pooled_pearson_sd	bidirectional_pooled_r2_mean	bidirectional_pooled_r2_sd	bidirectional_pooled_rmse_mean	bidirectional_pooled_rmse_sd	bidirectional_pooled_spearman_mean	bidirectional_pooled_spearman_sd	corrective_analysis_stage	drug_representation_registry	genome_representation_registry	outer_target_code_registry	parameter_count	provisional_rank	seed_count	selection_eligible	selection_rank	candidate_id	result_source	new_training_required	screen_seeds	cross_modal_bilinear_rank	run_status	selected_genome_candidate	bidirectional_macro_mae_mean_drug_screen	bidirectional_macro_mae_sd_drug_screen	bidirectional_macro_one_tier_accuracy_mean_drug_screen	bidirectional_macro_one_tier_accuracy_sd_drug_screen	bidirectional_macro_pearson_mean_drug_screen	bidirectional_macro_pearson_sd_drug_screen	bidirectional_macro_r2_mean_drug_screen	bidirectional_macro_r2_sd_drug_screen	bidirectional_macro_rmse_mean	bidirectional_macro_rmse_sd	bidirectional_macro_spearman_mean_drug_screen	bidirectional_macro_spearman_sd_drug_screen	bidirectional_pooled_mae_mean_drug_screen	bidirectional_pooled_mae_sd_drug_screen	bidirectional_pooled_one_tier_accuracy_mean_drug_screen	bidirectional_pooled_one_tier_accuracy_sd_drug_screen	bidirectional_pooled_pearson_mean_drug_screen	bidirectional_pooled_pearson_sd_drug_screen	bidirectional_pooled_r2_mean_drug_screen	bidirectional_pooled_r2_sd_drug_screen	bidirectional_pooled_rmse_mean_drug_screen	bidirectional_pooled_rmse_sd_drug_screen	bidirectional_pooled_spearman_mean_drug_screen	bidirectional_pooled_spearman_sd_drug_screen	configuration_id_drug_screen	corrective_analysis_stage_drug_screen	corrective_genome_variant_drug_screen	cross_modal_architecture_drug_screen	drug_representation_registry_drug_screen	drug_view_low_rank_drug_screen	genome_representation_drug_screen	genome_representation_registry_drug_screen	low_rank_interaction_rank_drug_screen	model_parameter_count	outer_target_code_registry_drug_screen	parameter_count_drug_screen	provisional_rank_drug_screen	seed_count_drug_screen	selection_eligible_drug_screen	selection_rank_drug_screen	shared_hp_id_drug_screen	worst_direction_macro_rmse_mean	worst_direction_macro_rmse_sd	candidate_id_drug_screen	cross_modal_architecture_registry
ec	outer_ec__corrective_architecture_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit__single_view__drug_to_genome_FiLM	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8		136	92		features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	RDKit	drug_to_genome_FiLM	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	single_view	0	2.938286976308703	0.1018538963041966	0.21943228094319536	0.019331574218000556	0.376974222577161	0.028633074752195137	-5.286048088174292	1.0191199148944439	0.31246863599511515	0.04351332053194242	3.0315740782134157	0.05564815753437445	0.22242628344576076	0.010573429967904826	0.6534534725487894	0.01461421990024141	-0.40496518199603565	0.028152347441948843	3.833727340206558	0.034795254748142844	0.6238805301438056	0.020448273959533348		RDKit	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	ec	184609	1	3		1		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	separate_encoder_low_rank_kmer_plus_AMR									3.502528451259764	0.05648919601142208																								184609								3.6783113096045863	0.035474742324108424		drug_to_genome_FiLM
ec	outer_ec__corrective_architecture_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit__single_view__dual_tower_interaction	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8		136	92		features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	RDKit	dual_tower_interaction	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	single_view	0	2.933945564540148	0.35267513765688624	0.22162466365588696	0.035710952844288234	0.37875988570913766	0.061995330309758005	-5.490862749779478	2.0932740541882855	0.30936685423778504	0.039375283607135034	3.041284531240173	0.22127477116826705	0.21398178920633862	0.02016168560262409	0.6306046691911064	0.045657387615976035	-0.44325101593917077	0.20237811237258765	3.8537698356962005	0.20238950492024305	0.616254282932474	0.05058770201287575		RDKit	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	ec	277825	2	3		2		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	separate_encoder_low_rank_kmer_plus_AMR									3.534307682389811	0.36012976505510275																								277825								3.7740341024983466	0.4782793991856174		dual_tower_interaction
ec	outer_ec__corrective_architecture_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit__single_view__cross_modal_GMU	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8		136	92		features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	RDKit	cross_modal_GMU	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	single_view	0	3.0166386357340613	0.3360869675705893	0.20577933949134	0.05479933439909468	0.35714539263055123	0.05167900898560626	-5.251721668263653	1.3182954540764005	0.28174287218883426	0.028309340901440508	3.168199331928338	0.27340089685975943	0.1976386714950676	0.05063613172746953	0.6310924306012831	0.021616948525348855	-0.46395683387570913	0.21375430798809097	3.9849090148875397	0.209647621362634	0.6002317704205494	0.03813411353880212		RDKit	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	ec	203137	3	3		3		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	separate_encoder_low_rank_kmer_plus_AMR									3.564498398163009	0.3146604613058142																								203137								3.6947475683850945	0.4121462563262668		cross_modal_GMU
ec	outer_ec__corrective_architecture_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit__single_view__projected_concatenation_MLP	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8	canonical_4mer	136	92	228	features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	RDKit	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO	single_view	0	2.9773403910203	0.10219320819771029	0.22106408613036832	0.018408681259651952	0.35738445845260697	0.04047140011999143	-5.557836860515227	1.1385866421185324	0.297098061509301	0.026313943807145624	3.0733879209080666	0.05201205382738869	0.21646363714181627	0.02350440219931656	0.630470265343247	0.028027712950198312	-0.43968346439040057	0.05519872978710804	3.8966472428169645	0.02054388898247087	0.6017470154312204	0.040229026620858456	corrective_drug_representation_screen_v2	RDKit	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	ec	221953	1	3	YES	4	RDKit__single_view	reused_script171_selected_drug_projected_baseline	NO	20260811|20260812|20260813	32			2.9773403910203	0.10219320819771029	0.22106408613036832	0.018408681259651952	0.35738445845260697	0.04047140011999143	-5.557836860515227	1.1385866421185324	3.5708208038326585	0.09676505668288099	0.297098061509301	0.026313943807145624	3.0733879209080666	0.05201205382738869	0.21646363714181627	0.02350440219931656	0.630470265343247	0.028027712950198312	-0.43968346439040057	0.05519872978710804	3.8966472428169645	0.02054388898247087	0.6017470154312204	0.040229026620858456	outer_ec__corrective_drug_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit	corrective_drug_representation_screen_v2	separate_encoder_low_rank_kmer_plus_AMR	projected_concatenation_MLP	RDKit	0	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	8	221953	ec	221953	1	3	YES	1	corrective_hp_03_wide_regularised	3.751697505818736	0.1282003060002585	RDKit__single_view	
ec	outer_ec__corrective_architecture_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit__single_view__low_rank_bilinear	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8		136	92		features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	RDKit	low_rank_bilinear	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	single_view	0	3.2264370415418058	0.2373361342633526	0.1788304185696028	0.03393412386391156	0.30538464488515193	0.039677230196719475	-5.44475662091044	1.0664721966327284	0.24942087631046608	0.01775948489624857	3.329013346848724	0.15565204357735268	0.16560517497448787	0.03656025508232276	0.5928565287550874	0.024019687688892264	-0.5975800476600872	0.11739207892307801	4.0993403445364756	0.08623051299996172	0.5569979159015893	0.017638286863601728		RDKit	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	ec	175201	4	3		5		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	separate_encoder_low_rank_kmer_plus_AMR									3.771908462057127	0.18240039140379252																								175201								3.9957399073002304	0.23657817049976246		low_rank_bilinear
ec	outer_ec__corrective_architecture_screen__separate_encoder_low_rank_kmer_plus_AMR__RDKit__single_view__additive_linear	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	separate_encoder_low_rank_kmer_plus_AMR	corrective_hp_03_wide_regularised	8		136	92		features/genome_representation/nested_loso_v1/selected_kmer_plus_common_amr/outer_ec_selected_4mer_plus_common_amr_float32_v1.npy	RDKit	additive_linear	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	single_view	0	3.6442920812191733	0.13695900497401037	0.13502951592805562	0.0039732215678216515	0.33103645483773675	0.012316358933441972	-7.269872944250497	1.0433927221928792	0.2500942066277327	0.007409362249082392	3.8272452835901554	0.13567389851383466	0.1309739089238875	0.012302654868011517	0.4405675333207255	0.006007525194104165	-0.9286534090588222	0.1448480625922937	4.469943187319818	0.1474211235555875	0.40806772691465104	0.009579031259960985		RDKit	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	ec	165697	5	3		6		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	separate_encoder_low_rank_kmer_plus_AMR									4.060333646384501	0.12937087994566224																								165697								4.375411786742041	0.1522721630711099		additive_linear
kp	outer_kp__corrective_architecture_screen__common_AMR_only__ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation__drug_to_genome_FiLM	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0		512	91		features/genome_representation/nested_loso_v1/common_cross_species_amr/outer_kp_common_cross_species_amr_binary_v1.npy	ChemBERTa_mean_plus_Morgan_plus_RDKit	drug_to_genome_FiLM	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	raw_single_encoder_concatenation	0	1.7621262986239261	0.016005061027104982	0.34996960085412737	0.004699514748443936	0.5554846679431726	0.001656925772415631	-1.3130910692285742	0.16976768691894228	0.4509842544203811	0.004131035595412379	1.8246458494048696	0.009191267469010335	0.3412347397819828	0.0058806892572198	0.8347627232164063	0.0004899130547119941	0.5907698704929492	0.0022339267371053622	2.414252430898936	0.004167565450474874	0.8321265774691495	0.0027852864423617684		ChemBERTa_mean_plus_Morgan_plus_RDKit	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	kp	547297	1	3		1		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	common_AMR_only									2.265598816534329	0.017553356574646538																								547297								2.3975808523506017	0.041087434070450346		drug_to_genome_FiLM
kp	outer_kp__corrective_architecture_screen__common_AMR_only__ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation__projected_concatenation_MLP	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0	canonical_5mer	512	91	91	features/genome_representation/nested_loso_v1/common_cross_species_amr/outer_kp_common_cross_species_amr_binary_v1.npy	ChemBERTa_mean_plus_Morgan_plus_RDKit	projected_concatenation_MLP	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0	2	20260805|20260806|20260807	6	NO	raw_single_encoder_concatenation	0	1.7417597708825163	0.03085704154810597	0.3615823767786978	0.01549265781059745	0.5657991778374462	0.00016411180333947487	-1.4530683875946782	0.05724013425724852	0.4616163472682255	0.0015815548795676056	1.7977652675740925	0.03414560494340235	0.3501871995281476	0.019107568195600194	0.8342713037566089	0.005493075786371467	0.5940884499642466	0.01340216586628548	2.4046487258967564	0.0432354197709307	0.8322200027334453	0.0046602107792990425	corrective_drug_representation_screen_v2	ChemBERTa_mean_plus_Morgan_plus_RDKit	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	kp	584641	1	3	YES	2	ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation	reused_script171_selected_drug_projected_baseline	NO	20260811|20260812|20260813	32			1.7417597708825163	0.03085704154810597	0.3615823767786978	0.01549265781059745	0.5657991778374462	0.00016411180333947487	-1.4530683875946782	0.05724013425724852	2.26736323201934	0.03506560728813658	0.4616163472682255	0.0015815548795676056	1.7977652675740925	0.03414560494340235	0.3501871995281476	0.019107568195600194	0.8342713037566089	0.005493075786371467	0.5940884499642466	0.01340216586628548	2.4046487258967564	0.0432354197709307	0.8322200027334453	0.0046602107792990425	outer_kp__corrective_drug_screen__common_AMR_only__ChemBERTa_mean_plus_Morgan_plus_RDKit	corrective_drug_representation_screen_v2	common_AMR_only	projected_concatenation_MLP	ChemBERTa_mean_plus_Morgan_plus_RDKit	0	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	0	584641	kp	584641	1	3	YES	1	corrective_hp_03_wide_regularised	2.387578467599396	0.02654736261662108	ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation	
kp	outer_kp__corrective_architecture_screen__common_AMR_only__ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation__cross_modal_GMU	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0		512	91		features/genome_representation/nested_loso_v1/common_cross_species_amr/outer_kp_common_cross_species_amr_binary_v1.npy	ChemBERTa_mean_plus_Morgan_plus_RDKit	cross_modal_GMU	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	raw_single_encoder_concatenation	0	1.7639752297326774	0.02530138442569486	0.3488322773743841	0.010229096957609448	0.5640528920568139	0.007023397596934913	-1.640430765949467	0.10356062594542437	0.4572061830480268	0.00245027875787614	1.8091539910108914	0.02417343793749438	0.34130344160946074	0.011165416962462447	0.8361988350850696	0.004159678375880308	0.594359880513498	0.011282411792338748	2.4016170268738826	0.0296073236018282	0.8349763290358938	0.0040791614300257585		ChemBERTa_mean_plus_Morgan_plus_RDKit	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	kp	565825	2	3		3		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	common_AMR_only									2.2771925473050736	0.026506766095308457																								565825								2.4102278077798056	0.05960926052127708		cross_modal_GMU
kp	outer_kp__corrective_architecture_screen__common_AMR_only__ChemBERTa_mean_plus_Morgan_plus_RDKit__raw_single_encoder_concatenation__low_rank_bilinear	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	common_AMR_only	corrective_hp_03_wide_regularised	0		512	91		features/genome_representation/nested_loso_v1/common_cross_species_amr/outer_kp_common_cross_species_amr_binary_v1.npy	ChemBERTa_mean_plus_Morgan_plus_RDKit	low_rank_bilinear	96	2	2	2	0.3	0.0001	0.0001	768	250	25	1e-05	5.0				NO	raw_single_encoder_concatenation	0	1.7915494771937357	0.009787185475572061	0.33826935365730804	0.008207320104251615	0.5499723311916246	0.0026386925382964163	-1.9209730922701385	0.14590412970646316	0.4474877600642484	0.0035053739455121243	1.8460035060337556	0.004781854270895192	0.323478574694346	0.00623072024572611	0.8333861673529007	0.0026319714760745885	0.5828115769918911	0.0030879763975063075	2.4400323362709866	0.009558968985527444	0.8285732879293013	0.0013340436553261703		ChemBERTa_mean_plus_Morgan_plus_RDKit	outer_kp__final_common_AMR_only__corrective_hp_03_wide_regularised	kp	537889	3	3		4		new_script173_training	YES	20260811|20260812|20260813	32	preregistered_not_run	common_AMR_only									2.310043513607187	0.010005969621671228																								537889								2.4156850205293057	0.00454159983717176		low_rank_bilinear
