outer_target_code	source_regime_id	model_kind	support_budget_percent	normalized_antibiotic	fold_count	observations_mean_across_folds	rmse_mean_across_folds	rmse_sd_across_folds	mae_mean_across_folds	mae_sd_across_folds	r2_mean_across_folds	r2_sd_across_folds	pearson_mean_across_folds	pearson_sd_across_folds	spearman_mean_across_folds	spearman_sd_across_folds	one_tier_accuracy_mean_across_folds	one_tier_accuracy_sd_across_folds
ec		target_only_scratch	1	amikacin	5	848.4	1.6540301702988773	0.08304696781741423	1.3751640716297615	0.061248832582088755	-2.4140293576122063	0.39395052083328985	0.1971778383067619	0.032682463484078425	0.17958774059275268	0.028437707767525723	0.39431554696239	0.01958928029045284
ec		target_only_scratch	1	ampicillin	5	343.0	2.955700013494325	0.13474861872257235	2.123339644639207	0.06232044803923439	-0.36277004786390793	0.13782319625317957	0.38591466140446895	0.02771889750435582	0.36758227272119665	0.032603708993458096	0.3749271137026239	0.0338981798276357
ec		target_only_scratch	1	aztreonam	5	556.4	1.816298368938396	0.06671627476993998	1.4167324379254695	0.042698483143714064	0.18020486104904485	0.04475707003901228	0.5377596908928886	0.03651553490517389	0.5229458770778678	0.039200816953246176	0.4394834503594174	0.015731141972379164
ec		target_only_scratch	1	cefepime	5	666.6	2.2070762020059154	0.09800193503690123	1.760362877719817	0.08517506919261193	0.18232313412707057	0.08149670784223778	0.4811146462409222	0.07819874692468626	0.4697079515355648	0.07841920422733084	0.3550299925112519	0.027578291013972963
ec		target_only_scratch	1	cefmetazole	5	488.2	2.718143054039797	0.1164629903840025	2.342115984457843	0.09060142046445725	-0.7231141742177124	0.16547441349291772	-0.12386761356692817	0.09046721497347514	-0.1482263559261886	0.0863047454713677	0.1899544067853431	0.014004350836485418
ec		target_only_scratch	1	cefotaxime	5	1098.0	4.013757088944051	0.09608645240392605	3.309940785699895	0.09335643321558908	0.27280330205165193	0.03674390558861336	0.5746793482961932	0.04098944625586766	0.5772296035513106	0.03984671578029649	0.15828779599271398	0.016675760594341508
ec		target_only_scratch	1	cefoxitin	5	349.4	1.7167975511671671	0.10335060857313334	1.3978621816958487	0.08403494605339969	-0.6987034216211534	0.2509531173749155	0.36614159417580533	0.12180129319819114	0.3312944147003366	0.09376075264038161	0.41886654857046446	0.05004071779309822
ec		target_only_scratch	1	ceftazidime	5	1197.2	2.58284763896108	0.07608115705822485	1.917384484840932	0.06007735166583071	0.2362139572211132	0.027932965905012104	0.5533743745753525	0.05222935620396597	0.578764105688648	0.053607127413436935	0.3707551200390143	0.01962386451522864
ec		target_only_scratch	1	ceftriaxone	5	644.0	3.2085052612879132	0.20533215295325996	2.7523749575855723	0.16145931556211846	0.15730301565147703	0.11492018472268474	0.5774959131435488	0.033891090889658075	0.5141941970991937	0.038094152036208764	0.16739130434782604	0.0416105289045829
ec		target_only_scratch	1	cefuroxime	5	808.6	2.108217705459972	0.09047505082992163	1.725302741769191	0.07375886369421274	-0.6156700160092605	0.11540908155865373	0.16932860279214182	0.0800332910555483	0.1399423486010511	0.07024653089914736	0.3485959271200663	0.020951271860835483
